Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
        -4.75,     0.7335283, ,            -5,     -1.397146, ,            -5,      1.315184, ,         -4.75,      2.783165, ,            -5,     -20.32573, ,            -5,     -2.308228, ,            -5,       5.06006, ,            -5,       7.85642, ,            -5,      -4.90452, ,            -5,        4.7923, ,            -5,      4.540907, ,            -5,      4.529294, ,            -5,      3.056853, ,            -5,    -0.3496062, ,            -5,     0.1147204, ,            -5,     -1.145455, ,            -5,     -4.500494, ,            -5,     -3.664941, ,            -5,     -25.18704, ,            -5,     -19.58911, ,          -4.5,     -13.64727, ,         -4.75,     -1.033817, ,         -4.75,     -7.636679, ,         -3.75,     -9.770701, ,            -5,      2.705694, ,            -5,      1.310749, ,            -5,     -12.97035, ,         -4.75,     -12.09637, ,            -5,     -10.44455, ,          -4.5,     -5.347112, ,            -5,     -7.957226, ,            -5,      -14.3454, ,            -5,     -6.658086, ,            -5,       -21.332, ,            -5,     -24.11667, ,            -5,     -18.08559, ,            -5,     -31.73186, ,            -5,     -14.54201, ,            -5,     -9.733532, ,            -5,     -19.38591, ,         -4.75,     -22.94333, ,            -5,     -15.09469, ,            -5,     -16.40866, ,            -5,      -17.6957, ,            -5,     -12.48841, ,            -5,     -9.756344, ,            -5,     -33.52037, ,         -4.75,     -17.45957, ,            -5,     -20.07781, ,            -5,     -12.88386, , 
         -4.5,     0.9573133, ,         -4.75,     -0.860234, ,         -4.75,      2.234052, ,          -4.5,      3.349142, ,         -4.75,     -19.46578, ,         -4.75,    -0.6242561, ,         -4.75,      5.505715, ,         -4.75,      8.556438, ,         -4.75,     -3.621752, ,         -4.75,      6.999104, ,         -4.75,      5.223699, ,         -4.75,      5.202851, ,         -4.75,      4.267426, ,         -4.75,     0.3411836, ,         -4.75,     0.7832708, ,         -4.75,      -0.34154, ,         -4.75,     -3.045642, ,         -4.75,     -3.427003, ,         -4.75,     -23.08415, ,          -4.5,     -14.54873, ,         -4.25,     -13.17887, ,          -4.5,    -0.5880167, ,         -3.25,     -9.307219, ,          -3.5,     -8.164567, ,         -4.75,      2.970098, ,         -4.75,      2.376311, ,         -4.75,     -13.26194, ,          -4.5,     -20.58446, ,         -4.75,     -10.07759, ,         -4.25,     -4.353348, ,         -4.75,     -7.097556, ,         -4.75,     -13.75815, ,         -4.75,     -6.649371, ,         -4.75,     -20.19402, ,         -4.75,     -23.30316, ,         -4.75,     -25.01738, ,         -4.75,     -29.56367, ,         -4.75,      -13.9313, ,         -4.75,     -9.054317, ,         -4.75,     -18.39269, ,          -4.5,     -22.51593, ,         -4.75,     -16.14058, ,         -4.75,     -17.55829, ,         -4.75,     -16.06376, ,         -4.75,     -9.871374, ,         -4.75,     -7.878458, ,         -4.75,     -31.52211, ,          -4.5,     -18.28651, ,         -4.75,     -19.86958, ,         -4.75,     -11.38164, , 
        -4.25,      1.346746, ,         -4.25,     0.1911514, ,          -4.5,      3.202349, ,         -3.75,      6.537494, ,          -4.5,     -18.39732, ,          -4.5,     0.9042812, ,          -4.5,      6.137687, ,          -4.5,       9.27828, ,          -4.5,     -2.361321, ,          -4.5,      9.250348, ,          -4.5,       6.01309, ,          -4.5,      6.990227, ,          -4.5,      5.574711, ,          -4.5,      1.067601, ,          -4.5,      1.629508, ,          -4.5,     0.6695206, ,          -4.5,     -2.484726, ,          -4.5,      -3.16005, ,          -4.5,     -20.43735, ,         -4.25,     -12.25155, ,            -4,     -14.20116, ,         -3.75,      1.070123, ,            -3,     -7.547644, ,         -3.25,     -6.392043, ,          -4.5,      3.285023, ,          -4.5,       3.68366, ,          -4.5,     -13.29095, ,         -4.25,     -19.76537, ,          -4.5,     -9.513884, ,            -4,      -2.96497, ,          -4.5,     -6.335362, ,          -4.5,      -13.0697, ,          -4.5,     -6.519811, ,          -4.5,     -19.40742, ,          -4.5,     -21.98768, ,          -4.5,     -25.33362, ,          -4.5,     -26.78861, ,          -4.5,     -12.35269, ,          -4.5,     -9.091349, ,          -4.5,     -13.44498, ,         -4.25,     -19.58148, ,          -4.5,     -23.29008, ,          -4.5,     -18.92429, ,          -4.5,     -14.39632, ,          -4.5,     -7.182635, ,         -3.75,      1.056425, ,          -4.5,     -29.55033, ,         -4.25,     -18.68594, ,          -4.5,     -20.40154, ,          -4.5,     -8.894672, , 
           -4,      1.847142, ,            -4,     0.3525456, ,         -4.25,      4.145348, ,          -3.5,      7.780629, ,         -4.25,      -17.0979, ,         -4.25,      3.213688, ,         -4.25,      6.988024, ,         -4.25,      9.907866, ,         -4.25,     -1.140782, ,         -4.25,      11.49053, ,         -4.25,      6.926852, ,         -4.25,      8.225133, ,         -4.25,      6.960261, ,         -4.25,      1.746535, ,         -4.25,      2.607961, ,         -4.25,      1.377828, ,         -4.25,     -3.220408, ,         -4.25,     -2.804374, ,         -4.25,     -17.72903, ,            -4,     -9.372906, ,         -3.25,     -8.843502, ,         -2.25,      14.56985, ,         -2.75,     -5.481604, ,            -3,      -4.54314, ,         -4.25,      3.647007, ,         -4.25,      4.113431, ,         -4.25,     -12.16985, ,            -4,     -23.89502, ,         -4.25,     -8.774941, ,         -3.75,     -1.980949, ,         -4.25,     -5.430179, ,         -4.25,     -11.09315, ,         -4.25,      -6.34239, ,         -4.25,     -18.62464, ,         -4.25,     -20.29136, ,         -4.25,     -25.08559, ,         -4.25,     -26.50563, ,         -4.25,     -10.44435, ,         -4.25,     -8.000778, ,         -4.25,     -12.83439, ,            -4,     -18.66728, ,         -4.25,     -25.14332, ,         -4.25,     -20.53259, ,            -4,     -10.35227, ,         -4.25,     -4.443192, ,          -3.5,        3.5403, ,         -4.25,     -27.39266, ,         -3.25,     -22.54451, ,         -4.25,     -19.80058, ,         -4.25,     -6.076827, , 
        -3.75,      2.442903, ,         -3.75,     0.8052024, ,            -4,      5.167852, ,         -3.25,      8.999479, ,            -4,     -15.54141, ,         -3.75,       7.88395, ,            -4,      8.085171, ,            -4,      10.61274, ,         -3.75,     0.2820551, ,            -4,      13.84726, ,            -4,      11.88734, ,            -4,      9.704589, ,            -4,      8.099333, ,            -4,      2.509543, ,            -4,      3.557724, ,            -4,      2.413747, ,            -4,     -2.318071, ,            -4,     -2.385326, ,            -4,     -15.90708, ,         -3.75,     -2.777343, ,         -2.75,     -11.55258, ,            -2,       17.3126, ,          -2.5,     -2.306182, ,         -2.75,     -2.613336, ,            -4,      4.054701, ,            -4,      5.362659, ,            -4,     -11.88333, ,         -3.75,     -25.42654, ,            -4,     -8.142497, ,          -3.5,     -2.001366, ,         -2.75,      3.638304, ,            -4,     -11.90356, ,            -4,     -8.046254, ,            -4,     -17.43061, ,            -4,     -19.83647, ,            -4,     -24.32363, ,            -4,     -24.95388, ,         -3.75,     -8.327062, ,            -4,     -7.407917, ,            -4,     -12.50899, ,         -3.75,     -17.20595, ,            -4,     -21.72405, ,            -4,     -26.10142, ,         -3.75,     -7.402712, ,            -4,     -1.497655, ,         -3.25,      6.109993, ,            -4,     -25.16456, ,            -3,     -22.07399, ,            -4,     -18.90094, ,            -4,      -3.20108, , 
         -3.5,      3.130615, ,          -3.5,      1.604266, ,         -3.75,      6.324501, ,            -3,      10.19362, ,         -3.75,     -13.74774, ,          -3.5,      10.25831, ,            -3,      13.93464, ,         -3.75,      11.62538, ,          -3.5,       1.52232, ,         -3.75,      16.30533, ,         -3.75,       16.1028, ,         -3.75,       13.3114, ,         -3.75,      10.37376, ,          -3.5,      4.697449, ,         -3.75,      4.505452, ,         -3.75,      3.366762, ,          -3.5,   -0.04753654, ,         -3.75,     -1.938593, ,         -3.75,     -13.48862, ,          -3.5,     0.5563678, ,          -2.5,     -11.04933, ,         -1.75,      20.77954, ,         -2.25,      0.276963, ,          -2.5,    -0.6408716, ,         -3.75,      4.490812, ,         -3.75,      7.020485, ,         -3.25,     -12.65609, ,          -3.5,     -25.76818, ,         -3.75,     -7.518954, ,         -3.25,     -1.139389, ,          -2.5,      5.922316, ,         -3.75,     -11.15915, ,         -3.75,     -7.957139, ,         -3.75,     -15.93364, ,         -3.75,     -18.22442, ,         -3.75,     -22.19131, ,         -3.75,     -23.29872, ,          -3.5,     -6.564195, ,         -3.75,     -6.157683, ,         -3.75,     -12.35238, ,          -3.5,     -17.06023, ,         -3.75,     -20.69883, ,         -3.75,     -30.19684, ,          -3.5,     -4.740495, ,         -3.75,      1.269056, ,            -3,      8.754237, ,         -3.75,     -22.79883, ,         -2.75,     -23.22195, ,         -3.75,     -18.56282, ,         -3.75,    -0.2118984, , 
        -3.25,      3.901998, ,         -3.25,      3.196664, ,          -3.5,      7.654864, ,         -2.75,      11.60413, ,          -3.5,     -11.68724, ,         -3.25,      12.63881, ,         -2.75,      15.75642, ,          -3.5,       12.9025, ,         -3.25,      2.765936, ,          -3.5,      18.84295, ,          -3.5,      19.62459, ,          -3.5,      17.83239, ,          -3.5,      12.18854, ,         -3.25,      5.974552, ,          -3.5,       6.53923, ,          -3.5,      4.256811, ,         -3.25,       1.55052, ,          -3.5,     -1.363346, ,          -3.5,     -10.83112, ,         -3.25,      3.850783, ,         -2.25,     -8.648781, ,          -1.5,      23.00224, ,            -2,      3.178491, ,         -2.25,      1.383118, ,          -3.5,      4.974389, ,          -3.5,      8.985956, ,            -3,     -20.82136, ,         -3.25,     -25.00199, ,          -3.5,     -6.895932, ,            -3,    -0.1007778, ,         -2.25,      7.933839, ,            -3,     -8.525726, ,          -3.5,     -7.339271, ,          -3.5,     -16.32446, ,          -3.5,     -17.03392, ,          -3.5,     -20.53463, ,          -3.5,     -21.96363, ,         -3.25,     -4.447792, ,          -3.5,     -4.650587, ,          -3.5,     -12.11622, ,         -3.25,     -15.90824, ,          -3.5,     -19.19907, ,          -3.5,     -31.67029, ,         -3.25,    -0.9389818, ,          -3.5,      4.162271, ,         -2.75,      11.43871, ,         -3.25,     -17.47016, ,          -2.5,     -22.51899, ,          -3.5,     -18.61528, ,          -3.5,      2.712752, , 
           -3,      4.782728, ,            -3,       5.48742, ,            -3,       10.7651, ,          -2.5,      13.34362, ,         -3.25,     -9.272596, ,            -3,       14.9313, ,          -2.5,      17.63728, ,         -3.25,      14.48395, ,            -3,      4.028979, ,         -3.25,      21.22751, ,         -3.25,      22.70139, ,         -3.25,      21.58164, ,         -3.25,      13.82364, ,            -3,      7.386723, ,          -2.5,      17.97293, ,         -3.25,      5.412823, ,            -3,      3.363149, ,         -3.25,    -0.7460088, ,         -3.25,     -8.264067, ,            -3,      7.044546, ,            -2,     -6.000945, ,         -1.25,       25.0384, ,         -1.75,      6.229965, ,            -2,      3.467874, ,         -3.25,       5.51667, ,         -3.25,       13.4242, ,         -2.75,     -20.20743, ,            -3,     -23.01234, ,         -3.25,      -8.36276, ,         -2.75,      1.087613, ,            -2,       9.67398, ,         -2.75,     -6.966564, ,         -3.25,     -6.540472, ,         -3.25,     -15.27663, ,         -3.25,     -15.32437, ,         -3.25,     -18.53922, ,         -3.25,     -22.03241, ,            -3,     -2.275172, ,         -3.25,     -2.923051, ,         -3.25,     -11.15465, ,            -3,     -14.90959, ,         -3.25,      -18.7973, ,         -3.25,     -27.59501, ,            -3,      1.884031, ,         -3.25,      7.142194, ,          -2.5,      14.13758, ,            -3,     -14.02273, ,            -2,     -23.57865, ,         -3.25,     -16.20581, ,         -3.25,      5.756303, , 
        -2.75,      5.793562, ,         -2.75,      7.650976, ,         -2.75,      12.41268, ,         -2.25,      15.23486, ,         -2.75,     -4.350276, ,         -2.75,      17.10175, ,         -2.25,      19.58323, ,            -3,      17.17233, ,         -2.75,      5.359787, ,            -3,      23.75968, ,            -3,      25.50934, ,            -3,      24.72506, ,            -3,      15.12623, ,         -2.75,       11.4072, ,         -2.25,      21.65233, ,            -3,      6.870605, ,         -2.75,      5.306568, ,            -3,   -0.04053253, ,            -3,     -5.398608, ,         -2.75,      8.941021, ,         -1.75,     -3.895304, ,            -1,       27.5423, ,          -1.5,      9.653154, ,         -1.75,      5.592465, ,            -3,      6.144617, ,            -3,      15.13799, ,          -2.5,     -19.32111, ,         -2.75,     -20.83883, ,            -3,     -7.881134, ,            -2,      5.272613, ,         -1.75,      11.14805, ,         -2.25,     -2.734007, ,            -3,      -5.63115, ,            -3,     -13.75601, ,            -3,     -15.06664, ,            -3,     -17.25129, ,            -3,     -20.62362, ,         -2.75,    0.01503215, ,            -3,    -0.9879278, ,            -3,     -9.820415, ,         -2.75,      -13.8431, ,            -3,     -17.80484, ,            -3,     -25.05783, ,         -2.75,      5.636417, ,            -3,      10.18767, ,         -2.25,      16.83933, ,          -2.5,     -6.669386, ,         -1.75,     -23.51089, ,            -3,     -13.42015, ,            -3,      8.858483, , 
         -2.5,      6.967441, ,          -2.5,      9.275942, ,          -2.5,      14.06142, ,            -2,      17.24328, ,          -2.5,     -2.289135, ,          -2.5,       19.4286, ,            -2,      21.67296, ,         -2.75,      18.30492, ,         -2.25,      7.358359, ,          -2.5,      27.29268, ,         -2.75,      28.20138, ,         -2.75,      27.49405, ,         -2.75,       18.7683, ,          -2.5,      14.27713, ,         -1.75,      27.34355, ,         -2.75,      8.181843, ,          -2.5,      7.371672, ,         -2.75,     0.8054561, ,         -2.75,     -2.359742, ,          -2.5,      10.76766, ,          -1.5,     -2.053721, ,         -0.75,      30.27485, ,         -1.25,      13.39045, ,          -1.5,      7.735675, ,         -2.75,      6.902697, ,         -2.75,      18.45169, ,         -2.25,     -18.49762, ,          -2.5,     -17.63299, ,         -2.75,     -7.151052, ,         -1.75,      6.272991, ,          -1.5,      13.08002, ,            -2,    -0.2366491, ,         -2.75,     -4.794016, ,         -2.75,     -12.06399, ,         -2.75,     -13.65008, ,         -2.75,     -15.18872, ,         -2.75,     -19.36358, ,          -2.5,       2.44022, ,         -2.75,       1.14281, ,         -2.75,     -8.144313, ,          -2.5,     -12.38495, ,         -2.75,     -16.74037, ,         -2.75,     -23.34346, ,          -2.5,       8.85837, ,         -2.75,       13.2625, ,            -2,      19.56161, ,         -2.25,      -3.19748, ,         -1.25,     -15.15501, ,         -2.75,     -10.44461, ,         -2.75,      12.07692, , 
