Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
-5,-3.909015, ,-5,-6.135933, ,-5,-13.51644, ,-5,-7.001277, ,-5,-5.648643, ,-5,-10.54144, ,-5,-52.92152, ,-5,-0.2304195, ,-5,-8.977746, ,-5,-3.743657, ,-5,-5.187293, ,-5,-28.72735, ,-5,9.515862, ,-5,-19.35407, ,-5,-18.46029, ,-5,-6.111499, ,-5,-0.3912063, ,-5,-6.175459, ,-2.5,21.41597, ,-3.5,11.79163, , 
-4.75,-1.996733, ,-4.75,-3.282557, ,-4.75,-13.16059, ,-4.75,-4.524011, ,-4.75,-3.794826, ,-4.75,-8.317488, ,-4.75,-49.86972, ,-4.5,6.311118, ,-4.75,-7.182083, ,-4.75,-1.608784, ,-4.75,-1.936883, ,-4.75,-25.07453, ,-4.75,12.27302, ,-4.75,-19.13326, ,-4.75,-18.96736, ,-4.75,-6.064751, ,-4.75,1.434054, ,-4.75,-6.357746, ,-1.5,34.63223, ,-2.5,22.13389, , 
-4.5,0.153816, ,-4.5,-0.1889566, ,-4.5,-12.49092, ,-4.5,-1.800739, ,-4.5,-1.642278, ,-4.5,-6.548955, ,-4.5,-46.40933, ,-4.25,10.2999, ,-4.5,-5.118661, ,-4.5,1.528416, ,-4.5,1.089931, ,-4.5,-21.57286, ,-4.5,15.30606, ,-4.5,-20.21681, ,-4.5,-18.3662, ,-4.5,-5.97413, ,-4.5,3.461917, ,-4.5,-6.533837, ,-1,37.55942, ,-2.25,25.2523, , 
-4.25,2.624391, ,-4.25,3.142558, ,-4.25,-11.34628, ,-4.25,1.150502, ,-4.25,0.2638782, ,-4.25,-3.97996, ,-4.25,-43.58166, ,-4,16.33728, ,-4.25,-3.207547, ,-4.25,5.332683, ,-4.25,3.964907, ,-4.25,-18.19964, ,-4.25,18.87156, ,-4.25,-20.50894, ,-4.25,-17.64131, ,-4.25,-5.821924, ,-4.25,5.601583, ,-4.25,-6.709507, ,-0.75,40.26946, ,-1.75,29.51241, , 
-4,5.337023, ,-4,6.828872, ,-4,-9.642114, ,-4,4.302909, ,-4,2.545059, ,-4,-1.09626, ,-4,-41.99323, ,-3.75,21.10965, ,-4,0.4932819, ,-4,8.816363, ,-4,6.592624, ,-4,-14.82168, ,-4,25.22747, ,-4,-20.70741, ,-4,-16.86828, ,-4,-5.523714, ,-4,7.871214, ,-4,-6.871639, ,-0.5,42.66012, ,-1.5,31.87611, , 
-3.75,8.844027, ,-3.75,10.6648, ,-3.75,-8.930736, ,-3.75,6.107789, ,-3.75,5.00196, ,-3.75,1.403218, ,-3.75,-40.10548, ,-3.5,24.85439, ,-3.75,4.046632, ,-3.75,12.10013, ,-3.75,8.805137, ,-3.75,-11.63377, ,-3.75,30.74144, ,-3.75,-19.56383, ,-3.75,-15.99434, ,-3.75,-4.49444, ,-3.75,10.30347, ,-3.75,-7.031798, ,-0.25,44.79712, ,-1.25,34.18308, , 
-3.5,12.28372, ,-3.5,14.53373, ,-3.5,-7.078859, ,-3.5,8.702416, ,-3.5,7.570132, ,-3.5,3.934997, ,-3.5,-37.25121, ,-3.25,28.10063, ,-3.5,7.040748, ,-3.5,15.15142, ,-3.5,11.17215, ,-3.5,-8.52021, ,-3.5,33.81619, ,-3.5,-18.40765, ,-3.5,-15.45478, ,-3.5,-3.877797, ,-3.5,12.8777, ,-3.5,-7.178945, ,0,46.84073, ,-1,36.31178, , 
-3.25,15.66755, ,-3.25,18.37068, ,-3.25,-4.829565, ,-3.25,12.34495, ,-3.25,10.22847, ,-3.25,6.611841, ,-3.25,-34.81804, ,-3,30.83478, ,-3.25,9.851077, ,-3.25,17.46074, ,-3.25,13.7007, ,-3.25,-5.445854, ,-3.25,36.22537, ,-3.25,-17.37548, ,-3.25,-14.47828, ,-3.25,-4.689084, ,-3.25,15.65727, ,-3.25,-7.306145, ,0.25,48.66221, ,-0.75,38.31798, , 
-3,22.57276, ,-3,22.24502, ,-3,-2.778862, ,-3,17.08897, ,-3,12.95685, ,-3,9.538381, ,-3,-32.34791, ,-2.5,34.90596, ,-3,12.59949, ,-3,19.67226, ,-3,16.26157, ,-3,-3.138127, ,-3,38.52706, ,-3,-16.6077, ,-3,-13.07127, ,-3,-4.30049, ,-3,18.51705, ,-3,-7.420527, ,0.5,50.11658, ,-0.5,40.37357, , 
-2.75,28.06074, ,-2.75,26.15524, ,-2.75,-0.5511054, ,-2.75,22.21428, ,-2.75,15.71952, ,-2.75,12.70063, ,-2.75,-29.79254, ,-2,39.21911, ,-2.75,15.43751, ,-2.75,22.23747, ,-2.75,18.7879, ,-2.75,-0.5042411, ,-2.75,40.08897, ,-2.75,-13.72788, ,-2.75,-11.39619, ,-2.75,-3.538565, ,-2.75,21.59108, ,-2.75,-7.507592, ,0.75,51.15186, ,-0.25,42.38845, , 
