Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
-5,-54.96817, ,-5,-0.001136866, ,-5,-1.774708, ,-5,0.1261289, ,-5,-20.01909, ,-5,-7.523725, ,-5,-4.787317, ,-4.5,-12.4549, ,-5,-9.02105, ,-5,-8.074167, ,-5,-9.204023, ,-5,-8.595274, ,-4.25,3.022822, ,-4.75,1.004266, ,-5,0.4920111, ,-5,-0.09672924, ,-5,-9.151966, ,-4.75,-18.78594, ,-5,8.147454, ,-5,-41.78491, , 
-4.75,-53.956, ,-4.75,1.405326, ,-4.75,-1.467428, ,-4.75,0.4991488, ,-4.75,-18.51983, ,-4.75,-5.220984, ,-4.75,-2.866008, ,-4.25,-12.63788, ,-4.75,-9.27793, ,-4.75,-6.067969, ,-4.75,-7.555756, ,-4.75,-6.991371, ,-4,4.881712, ,-4.5,2.723616, ,-4.75,1.071529, ,-4.75,0.3210063, ,-4.75,-9.390531, ,-4.5,-14.357, ,-4.75,9.865542, ,-4.75,-43.96284, , 
-4.5,-52.24114, ,-4.5,2.754842, ,-4.5,-1.008441, ,-4.5,0.916152, ,-4.5,-17.17868, ,-4.5,-2.292748, ,-4.5,-0.9659946, ,-4,-12.82941, ,-4.5,-9.530315, ,-4.5,-4.05051, ,-4.5,-5.58041, ,-4.5,-5.356635, ,-3.75,7.120179, ,-4.25,4.559495, ,-4.5,1.731026, ,-4.5,0.8253174, ,-4.5,-9.712799, ,-4.25,-10.24214, ,-4.5,12.00456, ,-4.5,-44.38055, , 
-4.25,-50.14731, ,-4,6.050381, ,-4.25,-0.2722941, ,-4.25,1.386042, ,-4.25,-16.15744, ,-4.25,0.5364693, ,-4.25,0.8165377, ,-3.25,-14.09619, ,-4.25,-11.32397, ,-4.25,-1.962455, ,-4.25,-2.91678, ,-4.25,-2.650775, ,-3.5,9.56499, ,-4,6.391157, ,-4.25,2.489552, ,-4.25,1.370615, ,-4,-10.36128, ,-4,-5.902161, ,-4.25,14.0107, ,-4.25,-44.26862, , 
-4,-48.04975, ,-3.75,8.029809, ,-4,0.6080506, ,-4,1.914858, ,-4,-15.1553, ,-4,3.334263, ,-4,3.048355, ,-3,-14.00388, ,-4,-11.4435, ,-4,0.5067912, ,-4,-0.06936967, ,-4,0.2689068, ,-3.25,12.13819, ,-3.75,8.356897, ,-4,3.361689, ,-4,1.970219, ,-3.75,-14.76342, ,-3.75,-3.9992, ,-4,15.8814, ,-4,-43.83997, , 
-3.75,-45.6795, ,-3.5,10.10918, ,-3.75,5.213626, ,-3.75,2.506781, ,-3.75,-11.86662, ,-3.75,6.050935, ,-3.75,5.790104, ,-2.75,-13.64144, ,-3.75,-11.48584, ,-3.75,3.383805, ,-3.75,2.846455, ,-3.75,2.994562, ,-3,14.84497, ,-3.5,10.31682, ,-3.75,4.354632, ,-3.75,2.655088, ,-3.5,-13.29016, ,-3.5,-3.238922, ,-3.75,17.58534, ,-3.75,-43.19472, , 
-3.5,-43.3034, ,-3.25,12.73329, ,-3.5,7.464602, ,-3.5,3.154221, ,-3.5,-8.240604, ,-3.5,8.609042, ,-3.5,8.492745, ,-2.5,-13.25931, ,-3.25,-11.36396, ,-3.5,6.30713, ,-3.5,5.794822, ,-3.5,5.691954, ,-2.75,17.70126, ,-3.25,11.98927, ,-3.5,5.466279, ,-3.5,3.45092, ,-3.25,-11.88002, ,-3.25,-2.544793, ,-3.5,19.44553, ,-3.5,-42.37326, , 
-3.25,-40.87868, ,-3,15.403, ,-3.25,9.90685, ,-3.25,3.855818, ,-3.25,-4.680922, ,-3.25,11.15851, ,-3.25,11.1079, ,-2.25,-12.69526, ,-3,-9.963955, ,-3.25,9.314377, ,-3.25,8.698645, ,-3.25,8.3456, ,-2.5,20.42994, ,-3,14.15161, ,-3.25,6.715789, ,-3.25,4.431784, ,-3,-9.851558, ,-3,-1.760791, ,-3.25,21.42993, ,-3.25,-41.39691, , 
-3,-37.78881, ,-2.75,17.95682, ,-3,12.03431, ,-3,4.62479, ,-3,-1.038915, ,-3,13.52161, ,-3,13.59554, ,-2,-11.7712, ,-2.75,-11.31638, ,-3,12.30956, ,-3,11.57274, ,-3,10.88288, ,-2.25,23.04952, ,-2.75,16.32774, ,-3,8.117199, ,-3,5.241426, ,-2.75,-8.188272, ,-2.75,-0.8167606, ,-3,23.29466, ,-3,-39.39679, , 
-2.75,-35.34934, ,-2.5,20.41015, ,-2.75,14.45234, ,-2.75,5.499743, ,-2.75,2.60251, ,-2.75,16.15024, ,-2.75,16.03833, ,-1.5,-10.80469, ,-2,-10.6794, ,-2.75,15.27815, ,-2.75,14.42627, ,-2.75,13.36571, ,-2,27.06143, ,-2.5,18.56351, ,-2.75,9.686665, ,-2.75,6.225238, ,-2.5,-5.646363, ,-2.5,0.6523501, ,-2.75,24.91714, ,-2.75,-36.31022, , 
