Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
-5,-20.52894, ,-5,-40.08348, ,-5,-39.72555, ,-5,-40.07077, ,-5,-40.07077, ,-5,7.095405, ,-5,3.945213, ,-5,-0.4185761, ,-5,9.4611, ,-5,12.8957, ,-5,2.966954, ,-5,22.93044, ,-5,18.05082, ,-5,9.154388, ,-5,1.640556, ,-5,5.924793, ,-5,-2.203364, ,-5,-2.235655, ,-5,7.458524, ,-5,3.314781, , 
-4.75,-19.52109, ,-4.75,-38.88665, ,-4.75,-38.50924, ,-4.75,-38.81545, ,-4.75,-38.81545, ,-4.75,8.726192, ,-4.75,4.911607, ,-2.75,15.3753, ,-4.75,10.50049, ,-4.75,15.40948, ,-4.75,4.708529, ,-4.5,27.90734, ,-4.75,19.95538, ,-4.75,9.310302, ,-4.75,2.519784, ,-4.75,8.010204, ,-4.75,-1.128098, ,-4.75,-1.125782, ,-4.75,8.184383, ,-4.75,4.1411, , 
-4.25,-20.52647, ,-4.5,-37.55798, ,-4.5,-37.17396, ,-4.5,-37.43012, ,-4.5,-37.43012, ,-4.5,10.39035, ,-4.5,5.940082, ,-2.5,18.92508, ,-4.5,10.87843, ,-4.5,16.90733, ,-4.5,6.536674, ,-4.25,30.44357, ,-4.5,21.50908, ,-4.5,9.558917, ,-4.5,3.62197, ,-4.5,10.2446, ,-4.5,-0.638614, ,-4.5,-0.6329693, ,-4.5,8.929653, ,-4.5,5.158981, , 
-3.75,-19.77388, ,-4.25,-36.05904, ,-4.25,-35.74185, ,-4.25,-36.36602, ,-4.25,-36.36602, ,-4.25,13.99246, ,-4.25,6.906784, ,-2.25,20.9093, ,-4.25,11.62479, ,-4.25,18.03379, ,-4.25,8.438629, ,-4,35.2363, ,-4.25,24.62552, ,-4.25,10.05786, ,-4.25,4.85435, ,-4.25,12.59237, ,-4.25,0.3911241, ,-4.25,0.466408, ,-4.25,9.817133, ,-4,8.850309, , 
-3.5,-18.12475, ,-4,-34.30995, ,-4,-34.13812, ,-4,-35.83461, ,-4,-35.83461, ,-4,16.27912, ,-4,7.756106, ,-2,21.02371, ,-4,11.98965, ,-4,18.9582, ,-4,10.4479, ,-3.75,38.06506, ,-4,28.04513, ,-4,10.81311, ,-4,6.073235, ,-4,15.02264, ,-4,1.579009, ,-3.5,5.702478, ,-4,10.88997, ,-3.75,10.27785, , 
-3.25,-16.01958, ,-3.75,-32.62161, ,-3.75,-32.88992, ,-3.75,-35.62573, ,-3.75,-35.62573, ,-3.75,18.4683, ,-3.75,8.905333, ,-1.5,23.65029, ,-3.75,11.67708, ,-3.75,19.82497, ,-3.75,12.60487, ,-3.5,40.63255, ,-3.75,30.77923, ,-3.75,11.62082, ,-3.75,7.351006, ,-3.75,17.50142, ,-3.5,4.948769, ,-3.25,7.987924, ,-3.75,12.12894, ,-3.25,15.71058, , 
-3,-13.61641, ,-3.5,-31.21378, ,-3.5,-32.1434, ,-3.5,-35.17327, ,-3.5,-35.17327, ,-3.5,21.00071, ,-3.5,11.51092, ,-1.25,26.54324, ,-3.5,11.81341, ,-3.5,20.49225, ,-3.5,14.7546, ,-3.25,43.16454, ,-3.5,33.30732, ,-3.5,12.57895, ,-3.5,9.901239, ,-3.5,19.98729, ,-3.25,6.883407, ,-3,10.40957, ,-3.5,13.55416, ,-3,17.54958, , 
-2.75,-14.90735, ,-3.25,-30.19775, ,-3.25,-32.77968, ,-2.75,-30.90248, ,-2.75,-30.90248, ,-3.25,23.94053, ,-3.25,13.19448, ,-1,28.36524, ,-3.25,11.78439, ,-3.25,21.36605, ,-3.25,16.73645, ,-3,46.48415, ,-3.25,35.78501, ,-3.25,13.51218, ,-3.25,12.0565, ,-3.25,22.43487, ,-3,9.050449, ,-2.75,13.08771, ,-3.25,15.21785, ,-2.75,19.53078, , 
-2.5,-11.03485, ,-3,-29.04591, ,-3,-31.35399, ,-2.5,-29.94439, ,-2.5,-29.94439, ,-3,27.19359, ,-3,14.82698, ,0.25,41.89219, ,-3,11.6461, ,-3,22.24055, ,-3,19.48334, ,-2.75,49.93068, ,-3,38.20472, ,-3,14.37838, ,-2.5,22.13148, ,-3,24.75397, ,-2.75,11.29689, ,-2.5,15.9023, ,-3,17.15867, ,-2.5,19.88987, , 
-2.25,-7.439127, ,-2.75,-27.0998, ,-2.75,-29.89553, ,-2.25,-28.53132, ,-2.25,-28.53132, ,-2.75,28.75566, ,-2.75,16.39798, ,0.5,43.48734, ,-2.75,11.36069, ,-2.75,23.27873, ,-2.75,21.8914, ,-2.5,53.62444, ,-2.75,40.50414, ,-2.75,16.08981, ,-2.25,27.54821, ,-2.75,26.89692, ,-2.5,13.63897, ,-2.25,18.82304, ,-2.75,19.41483, ,-2.25,25.20255, , 
