Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
           -5,      7.041022, ,            -5,     -2.159468, ,            -5,     -1.697999, ,            -5,    -0.5258794, ,            -5,     -62.51134, ,            -5,     -58.82654, ,            -5,      23.23134, ,            -5,      22.52459, ,            -5,      17.45863, ,            -5,     -60.15783, ,            -5,     0.5429723, ,            -5,     -5.862367, ,         -4.75,     -16.93997, ,            -5,     -26.87342, ,            -5,     -12.77263, ,          6.25,      36.47074, ,            -5,      1.035846, ,          -4.5,      3.301436, ,            -5,     -14.26404, ,            -5,     -2.072203, , 
        -4.75,      7.659993, ,         -4.75,    0.03568673, ,         -4.75,    -0.4425093, ,         -4.75,     0.6250066, ,         -4.75,     -61.91234, ,         -4.75,      -56.7815, ,         -4.75,      27.09479, ,         -4.75,      24.87061, ,         -4.75,      19.92163, ,         -4.75,     -60.52397, ,         -4.75,      1.483455, ,         -4.75,     -3.475059, ,          -4.5,      -17.9476, ,         -4.75,     -26.23785, ,         -4.75,     -11.29626, ,           6.5,      38.56803, ,         -4.75,      1.633037, ,         -4.25,      4.396098, ,         -4.75,     -17.80027, ,         -4.75,    -0.9988157, , 
         -4.5,       8.39707, ,          -4.5,      2.338184, ,          -4.5,      1.103657, ,          -4.5,      2.286302, ,          -4.5,     -60.22201, ,          -4.5,     -54.35361, ,          -4.5,      31.76948, ,          -4.5,      27.37263, ,          -4.5,      22.44962, ,          -4.5,     -60.99392, ,          -4.5,      2.540915, ,          -4.5,     -1.277002, ,         -4.25,     -18.50229, ,          -4.5,     -24.92539, ,          -4.5,     -9.948815, ,          6.75,      40.06218, ,          -4.5,      2.744562, ,            -4,      5.573002, ,         -4.25,     -17.38717, ,          -4.5,     0.0286216, , 
         -3.5,      14.84205, ,         -4.25,      4.781677, ,         -4.25,        2.6818, ,         -4.25,      4.277347, ,         -4.25,     -58.46028, ,         -4.25,     -52.51387, ,         -4.25,      34.08073, ,         -4.25,       29.9532, ,         -4.25,      25.04734, ,         -4.25,     -60.99424, ,         -4.25,      3.721131, ,         -4.25,      1.159031, ,            -4,      -18.6949, ,         -4.25,     -22.91331, ,         -4.25,       -8.6195, ,          7.25,      34.86407, ,         -4.25,      3.775701, ,         -3.75,      6.565415, ,            -4,     -15.26569, ,         -4.25,      1.098718, , 
        -3.25,      16.41617, ,            -4,      7.421307, ,            -4,      4.290235, ,            -4,      6.513336, ,            -4,     -56.35414, ,            -4,     -50.44494, ,            -4,      36.71404, ,            -4,      32.27789, ,            -4,      27.75359, ,            -4,     -60.45412, ,            -4,      5.040978, ,            -4,       3.90212, ,         -3.75,     -18.51475, ,            -4,     -20.95815, ,            -4,     -7.255058, ,           7.5,      36.76579, ,            -4,      4.888381, ,          -3.5,      7.740312, ,         -3.75,     -12.58582, ,            -4,      2.112868, , 
           -3,      17.94948, ,         -3.75,      10.29973, ,         -3.75,      6.024225, ,         -3.75,      8.922535, ,         -3.75,     -54.17912, ,         -3.75,     -47.88194, ,         -3.75,      39.61033, ,         -3.75,      35.69531, ,         -3.75,      30.54197, ,         -3.75,     -59.52104, ,         -1.25,      35.31251, ,         -3.75,      6.844601, ,          -3.5,     -17.98997, ,         -3.75,     -19.05395, ,         -3.75,     -5.860997, ,          7.75,      38.14428, ,         -3.75,      5.922571, ,         -3.25,       8.87656, ,          -3.5,     -9.557606, ,         -3.75,      2.973486, , 
        -2.75,      20.76654, ,          -3.5,      13.44337, ,          -3.5,      8.111209, ,          -3.5,      11.44457, ,          -3.5,     -51.77891, ,         -3.25,     -43.64692, ,          -3.5,      44.07392, ,          -3.5,      37.41016, ,          -3.5,      33.32073, ,          -3.5,      -56.6469, ,            -1,      38.00841, ,          -3.5,      9.642484, ,         -3.25,     -17.13671, ,          -3.5,     -17.13657, ,          -3.5,     -4.442907, ,             8,      33.92018, ,          -3.5,      7.045298, ,            -3,      10.07393, ,         -3.25,     -7.151436, ,          -3.5,      3.135947, , 
         -2.5,      25.19319, ,         -3.25,      16.51237, ,         -3.25,       9.31719, ,         -3.25,       14.0664, ,         -3.25,     -49.21449, ,            -3,     -40.66758, ,         -3.25,      46.67998, ,         -3.25,      40.02221, ,         -3.25,      35.69547, ,         -3.25,     -54.06638, ,         -0.75,      42.40975, ,         -3.25,      12.44441, ,            -3,     -15.96244, ,         -3.25,     -15.35483, ,         -3.25,     -3.000006, ,          8.25,      34.37667, ,         -3.25,      8.092739, ,         -2.75,      11.30711, ,            -3,     -4.361302, ,         -3.25,      3.255464, , 
        -0.75,      62.76942, ,            -3,      19.05302, ,            -3,      11.03403, ,            -3,       16.7508, ,            -3,     -47.52688, ,         -2.75,     -38.55057, ,            -3,      49.10139, ,            -3,      42.69895, ,            -3,      38.15992, ,            -3,      -51.2898, ,          -0.5,      45.94318, ,            -3,      15.34948, ,         -2.75,     -14.46733, ,            -3,     -13.71898, ,            -3,     -1.534079, ,           8.5,       33.8419, ,            -3,      9.194145, ,          -2.5,      12.47991, ,         -2.75,     -1.393287, ,            -3,      3.137274, , 
         -0.5,      67.29973, ,         -2.75,      22.19511, ,         -2.75,      12.74524, ,         -2.75,      19.44535, ,          -2.5,     -42.97501, ,          -2.5,     -34.95625, ,         -2.75,      52.66201, ,         -2.75,      45.34916, ,         -2.75,      40.88127, ,         -2.75,     -48.58536, ,         -0.25,      49.69389, ,         -2.75,      18.28491, ,          -2.5,     -12.65996, ,         -2.75,     -12.27639, ,         -2.75,   -0.04291676, ,          8.75,      33.05889, ,         -2.75,      10.34021, ,         -2.25,      13.58483, ,          -2.5,      1.921945, ,         -2.75,       2.55726, , 
          0.5,      87.97829, ,          -2.5,      25.34732, ,          -2.5,      14.36573, ,          -2.5,      22.09845, ,         -2.25,     -40.99311, ,         -2.25,      -31.9625, ,          -2.5,      56.64958, ,          -2.5,      48.72011, ,          -2.5,      43.59061, ,          -2.5,     -46.19248, ,             0,      53.27409, ,          -2.5,      21.06761, ,         -2.25,     -10.60728, ,          -2.5,     -9.109752, ,          -2.5,       1.46843, ,             9,      32.21996, ,          -2.5,       11.5018, ,            -2,      14.51792, ,         -2.25,      5.956188, ,          -2.5,      1.519383, , 
         0.75,       93.6505, ,         -2.25,      28.43396, ,         -2.25,      15.98077, ,         -2.25,      24.94507, ,            -2,     -38.24795, ,            -2,     -28.75011, ,         -2.25,      58.34412, ,         -2.25,      51.71394, ,         -2.25,      46.35298, ,         -2.25,     -44.76931, ,          0.25,      56.66325, ,         -2.25,      23.69486, ,            -2,     -8.388109, ,         -2.25,     -5.127221, ,         -2.25,      2.984378, ,          9.25,      31.37312, ,         -2.25,      12.66208, ,         -1.75,      14.65863, ,            -2,      10.26184, ,         -2.25,  -0.000407892, , 
            1,      97.99236, ,            -2,      31.43134, ,            -2,       17.6432, ,            -2,       27.9132, ,         -1.75,      -36.2189, ,         -1.75,     -25.71287, ,            -2,      61.52464, ,            -2,      54.33709, ,            -2,      49.23505, ,            -2,     -43.00526, ,           0.5,      59.83812, ,            -2,      26.87375, ,         -1.75,     -6.055633, ,         -1.75,      3.241911, ,            -2,      4.497139, ,           9.5,      30.51897, ,            -2,      13.75789, ,          -1.5,      14.86961, ,         -1.75,      14.58742, ,            -2,     -1.754742, , 
         1.25,      101.0658, ,         -1.75,      34.32797, ,         -1.75,      19.32167, ,         -1.75,      30.90059, ,          -1.5,     -32.47032, ,          -1.5,     -21.77371, ,         -1.75,      65.54476, ,         -1.75,      57.96596, ,         -1.75,      52.29496, ,         -1.75,     -41.51193, ,          0.75,      62.77492, ,         -1.75,      30.19051, ,          -1.5,     -3.605947, ,          -1.5,      7.596379, ,         -1.75,      6.012603, ,          9.75,      29.53353, ,         -1.75,      14.19205, ,         -1.25,      14.99316, ,          -1.5,      18.96769, ,         -1.75,     -1.966705, , 
          1.5,       103.417, ,          -1.5,      37.26275, ,          -1.5,      21.09226, ,          -1.5,       33.8978, ,         -1.25,     -28.89959, ,         -1.25,     -18.56504, ,          -1.5,      68.61986, ,          -1.5,      60.91369, ,          -1.5,      55.50726, ,          -1.5,     -39.35245, ,             1,      65.40997, ,          -1.5,      33.18167, ,         -1.25,      -1.02631, ,         -1.25,      11.92951, ,          -1.5,      7.484174, ,            10,      28.08947, ,          -1.5,      14.15172, ,            -1,      16.41279, ,         -1.25,       23.2719, ,          -1.5,     0.7510588, , 
         1.75,      111.2158, ,         -1.25,      40.15819, ,         -1.25,      22.67584, ,         -1.25,      36.90836, ,            -1,     -23.87519, ,            -1,     -15.19052, ,         -1.25,      72.40175, ,         -1.25,       64.6042, ,         -1.25,      59.03049, ,         -1.25,      -37.3796, ,          1.25,      67.63385, ,         -1.25,      35.74723, ,            -1,      1.616395, ,            -1,       16.2579, ,         -1.25,      9.256874, ,         10.25,      18.42432, ,         -1.25,      20.66201, ,         -0.75,      17.14463, ,            -1,      27.25454, ,         -1.25,     0.5952521, , 
            2,      114.8216, ,            -1,       42.9634, ,            -1,        23.816, ,            -1,      39.95113, ,         -0.75,     -19.44542, ,         -0.75,     -11.44009, ,            -1,       75.4215, ,            -1,      68.19619, ,            -1,      62.46179, ,            -1,     -34.44001, ,           1.5,      69.69467, ,            -1,      37.50626, ,         -0.75,      4.319518, ,         -0.75,      20.42589, ,            -1,       10.8811, ,          10.5,      17.36985, ,            -1,      24.95595, ,         -0.25,      18.51439, ,         -0.75,       31.3084, ,            -1,      3.262029, , 
